Model,Replication,Accuracy,F1 Score,ROC AUC,Recall,Best Parameters
Logistic Regression,1,0.9860,0.9844,0.9974,0.9767,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9755,0.9754,0.9975,0.9858,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,2,0.9825,0.9839,0.9986,0.9808,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9580,0.9568,0.9947,0.9568,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,3,0.9720,0.9735,0.9977,0.9608,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9755,0.9753,0.9964,0.9650,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,4,0.9685,0.9684,0.9944,0.9583,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9441,0.9452,0.9726,0.9452,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,5,0.9580,0.9552,0.9947,0.9697,"{'C': 1, 'max_iter': 10000}"
Random Forest,5,0.9441,0.9429,0.9868,0.9565,"{'max_depth': None, 'n_estimators': 10}"
Logistic Regression,6,0.9755,0.9761,0.9956,0.9795,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9825,0.9807,0.9941,0.9922,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,7,0.9790,0.9797,0.9971,0.9932,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9755,0.9740,0.9974,1.0000,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,8,0.9685,0.9695,0.9936,0.9795,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9510,0.9496,0.9959,0.9296,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,9,0.9860,0.9853,0.9979,0.9853,"{'C': 10, 'max_iter': 10000}"
Random Forest,9,0.9580,0.9545,0.9940,0.9474,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,10,0.9790,0.9793,0.9980,0.9861,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9755,0.9758,0.9978,0.9930,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,11,0.9825,0.9819,0.9955,0.9855,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9720,0.9716,0.9923,0.9716,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,12,0.9755,0.9753,0.9969,0.9787,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9720,0.9697,0.9957,0.9552,"{'max_depth': None, 'n_estimators': 100}"
Logistic Regression,13,0.9685,0.9686,0.9929,0.9789,"{'C': 1, 'max_iter': 10000}"
Random Forest,13,0.9441,0.9429,0.9908,0.9167,"{'max_depth': None, 'n_estimators': 50}"
Logistic Regression,14,0.9720,0.9718,0.9937,0.9857,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9580,0.9524,0.9892,0.9375,"{'max_depth': None, 'n_estimators': 10}"
Logistic Regression,15,0.9650,0.9662,0.9911,0.9862,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9755,0.9719,0.9987,0.9603,"{'max_depth': None, 'n_estimators': 100}"
